name,datetime,type,size,count_total,count_filtered
20211201/20211201212400.json.gz,2023-05-04 10:36:58,extraction,1367802,2153.0,3.0
20211201/20211201211500.json.gz,2023-05-04 10:36:59,extraction,1514436,2338.0,8.0
20211201/20211201211600.json.gz,2023-05-04 10:36:59,extraction,1517426,2300.0,1.0
20211201/20211201211900.json.gz,2023-05-04 10:37:00,extraction,1501181,2349.0,1.0
20211201/20211201211300.json.gz,2023-05-04 10:37:00,extraction,1522330,2352.0,4.0
20211201/20211201211400.json.gz,2023-05-04 10:37:01,extraction,1507143,2335.0,4.0
20211201/20211201211100.json.gz,2023-05-04 10:37:01,extraction,1503236,2316.0,5.0
20211201/20211201211200.json.gz,2023-05-04 10:37:02,extraction,1393824,2130.0,5.0
20211201/20211201210900.json.gz,2023-05-04 10:37:03,extraction,1506498,2347.0,5.0
20211201/20211201210600.json.gz,2023-05-04 10:37:03,extraction,1512985,2292.0,5.0
20211201/20211201211000.json.gz,2023-05-04 10:37:04,extraction,1522654,2330.0,5.0
20211201/20211201210700.json.gz,2023-05-04 10:37:05,extraction,1512270,2326.0,6.0
20211201/20211201210800.json.gz,2023-05-04 10:37:05,extraction,1517707,2341.0,4.0
20211201/20211201210500.json.gz,2023-05-04 10:37:06,extraction,1516783,2319.0,6.0
20211201/20211201210400.json.gz,2023-05-04 10:37:06,extraction,1498217,2311.0,5.0
20211201/20211201210300.json.gz,2023-05-04 10:37:07,extraction,1632207,2497.0,5.0
20211201/20211201203500.json.gz,2023-05-04 10:37:08,extraction,1504326,2385.0,5.0
20211201/20211201210100.json.gz,2023-05-04 10:37:08,extraction,1516237,2425.0,1.0
20211201/20211201210200.json.gz,2023-05-04 10:37:08,extraction,1394541,2179.0,3.0
20211201/20211201175000.json.gz,2023-05-04 10:37:09,extraction,1863018,2756.0,3.0
20211201/20211201204200.json.gz,2023-05-04 10:37:10,extraction,1500399,2344.0,1.0
20211201/20211201205900.json.gz,2023-05-04 10:37:10,extraction,1380256,2181.0,4.0
20211201/20211201204400.json.gz,2023-05-04 10:37:10,extraction,1507392,2346.0,8.0
20211201/20211201205500.json.gz,2023-05-04 10:37:11,extraction,1382415,2202.0,3.0
20211201/20211201204100.json.gz,2023-05-04 10:37:11,extraction,1510487,2325.0,6.0
20211201/20211201205600.json.gz,2023-05-04 10:37:12,extraction,1506793,2327.0,6.0
20211201/20211201210000.json.gz,2023-05-04 10:37:12,extraction,1663638,2688.0,10.0
20211201/20211201205700.json.gz,2023-05-04 10:37:13,extraction,1375926,2113.0,2.0
20211201/20211201205400.json.gz,2023-05-04 10:37:13,extraction,1510489,2365.0,5.0
20211201/20211201205300.json.gz,2023-05-04 10:37:14,extraction,1519819,2366.0,4.0
20211201/20211201205100.json.gz,2023-05-04 10:37:14,extraction,1495345,2297.0,5.0
20211201/20211201203700.json.gz,2023-05-04 10:37:15,extraction,1515323,2388.0,3.0
20211201/20211201204500.json.gz,2023-05-04 10:37:15,extraction,1506331,2288.0,8.0
20211201/20211201205000.json.gz,2023-05-04 10:37:16,extraction,1374109,2159.0,5.0
20211201/20211201204800.json.gz,2023-05-04 10:37:16,extraction,1510624,2359.0,7.0
